Serial Number,English Word,Part of Speech,Tamil Translation,Hindi Translation,English Example,Tamil Example,Hindi Example,Synonyms,Tamil Meaning
318,Recalcitrant,Adjective,கட்டுப்படுத்த முடியாத,अवहेलनापूर्ण (Avhelanaapurn),The dog was recalcitrant during training.,பயிற்சி போது நாய் கட்டுப்படுத்த முடியாததாக இருந்தது.,प्रशिक्षण के दौरान कुत्ता अवहेलनापूर्ण था।,"Uncooperative, Defiant",அடங்காத / பிடிவாதமான
319,Sycophant,Noun,முகஸ்துதி செய்பவர்,चापलूस (Chaaploos),He was seen as a mere sycophant by his colleagues.,அவர் தனது சகாக்களால் வெறும் முகஸ்துதி செய்பவராக பார்க்கப்பட்டார்.,उन्हें उनके सहकर्मियों द्वारा केवल एक चापलूस के रूप में देखा गया।,"Toady, Flatterer",முகஸ்துதி செய்பவர்
320,Terse,Adjective,சுருக்கமான,संक्षिप्त (Sankshipt),Her terse reply left no room for discussion.,அவரது சுருக்கமான பதில் விவாதத்திற்கு இடமளிக்கவில்லை.,उसके संक्षिप्त उत्तर ने चर्चा के लिए कोई जगह नहीं छोड़ी।,"Concise, Brief",சுருக்கமான
321,Unctuous,Adjective,நயவஞ்சகமான,चिकना (Chikna),Avoid dealing with that unctuous salesman.,அந்த நயவஞ்சகமான விற்பனையாளருடன் பழகுவதைத் தவிர்க்கவும்.,उस चिकने विक्रेता से निपटने से बचें।,"Sycophantic, Greasy",வழவழப்பான / போலியான
322,Vicissitude,Noun,மாற்றங்கள்,परिवर्तन (Parivartan),Life is full of unexpected vicissitudes.,வாழ்க்கை எதிர்பாராத மாற்றங்களால் நிறைந்தது.,जीवन अप्रत्याशित परिवर्तनों से भरा है।,"Change, Alteration",வாழ்வின் ஏற்றத்தாழ்வு
323,Welter,Noun,குழப்பமான குவியல்,अव्यवस्थित ढेर (Avyavasthit Dher),He was lost in a welter of paperwork.,அவர் ஆவணங்களின் குழப்பமான குவியலில் தொலைந்து போனார்.,वह कागज़ातों के एक अव्यवस्थित ढेर में खो गया था।,"Muddle, Jumble, Confusion",குழப்பம்
324,Wizen,Verb,சுருங்கு,मुरझा जाना (Murjhaa Jaana),The fruit began to wizen after being left out.,பழம் வெளியே விடப்பட்ட பிறகு சுருங்க ஆரம்பித்தது.,बाहर छोड़ने के बाद फल मुरझा जाना शुरू हो गया।,"Shriveled, Wrinkled",சுருங்கிய
325,Zany,Adjective,நகைச்சுவையான / வினோதமான,सनकी (Sanaki),The show featured a zany cast of characters.,இந்த நிகழ்ச்சியில் நகைச்சுவையான கதாபாத்திரங்கள் இடம்பெற்றிருந்தன.,शो में पात्रों का एक सनकी समूह दिखाया गया था।,"Eccentric, Peculiar",கோமாளித்தனமான
326,Abeyance,Noun,நிறுத்தி வைத்தல்,स्थगन (Sthagan),The project was held in abeyance.,திட்டம் நிறுத்தி வைக்கப்பட்டது.,परियोजना स्थगन में रखी गई थी।,"Suspension, Dormancy",தற்காலிக நிறுத்தம்
327,Blithe,Adjective,கவலையற்ற / மகிழ்ச்சியான,लापरवाह (Laaparvaah),His blithe disregard for the rules was clear.,விதிகளுக்கான அவரது கவலையற்ற புறக்கணிப்பு தெளிவாக இருந்தது.,नियमों के प्रति उसकी लापरवाह अवहेलना स्पष्ट थी।,"Happy, Carefree",மகிழ்ச்சியான / கவலையற்ற
